fecha,consumo,tmed,tmax_dia,tmin_dia,prec_dia,vmax_dia,inso_dia,consumo_lag1,consumo_lag2,consumo_lag3,consumo_lag7,y_t+1,y_t+2,y_t+3,y_t+4,y_t+5,y_t+6,y_t+7
2018-09-08,567.18,24.51875,28.1,21.0,0.2,7.2,379.0,636.78,646.83,640.3,552.8,560.48,630.56,629.98,645.63,651.36,638.99,568.04
2018-09-09,560.48,24.702083333333334,28.3,21.6,0.0,9.8,206.0,567.18,636.78,646.83,542.74,630.56,629.98,645.63,651.36,638.99,568.04,564.45
2018-09-10,630.56,23.70625,25.8,21.4,0.1,9.8,0.0,560.48,567.18,636.78,616.59,629.98,645.63,651.36,638.99,568.04,564.45,636.26
2018-09-11,629.98,24.525000000000002,28.9,20.3,0.0,10.3,542.0,630.56,560.48,567.18,632.25,645.63,651.36,638.99,568.04,564.45,636.26,648.18
2018-09-12,645.63,24.427083333333332,28.1,21.2,1.3,14.9,296.0,629.98,630.56,560.48,640.3,651.36,638.99,568.04,564.45,636.26,648.18,651.08
2018-09-13,651.36,23.797916666666666,28.0,19.8,0.5,10.8,630.0,645.63,629.98,630.56,646.83,638.99,568.04,564.45,636.26,648.18,651.08,650.3
2018-09-14,638.99,24.772916666666664,28.4,21.3,0.0,8.2,570.0,651.36,645.63,629.98,636.78,568.04,564.45,636.26,648.18,651.08,650.3,642.1
2018-09-15,568.04,24.33125,27.2,22.4,0.0,8.8,15.0,638.99,651.36,645.63,567.18,564.45,636.26,648.18,651.08,650.3,642.1,571.34
2018-09-16,564.45,24.208333333333332,27.9,21.2,1.2,8.8,419.0,568.04,638.99,651.36,560.48,636.26,648.18,651.08,650.3,642.1,571.34,564.94
2018-09-17,636.26,24.48125,27.6,20.9,0.0,8.8,586.0,564.45,568.04,638.99,630.56,648.18,651.08,650.3,642.1,571.34,564.94,643.06
2018-09-18,648.18,23.087500000000002,26.1,20.3,5.5,10.8,97.0,636.26,564.45,568.04,629.98,651.08,650.3,642.1,571.34,564.94,643.06,654.64
2018-09-19,651.08,23.766666666666666,27.2,20.3,0.0,7.2,623.0,648.18,636.26,564.45,645.63,650.3,642.1,571.34,564.94,643.06,654.64,652.86
2018-09-20,650.3,24.73125,29.7,21.0,0.0,9.8,657.0,651.08,648.18,636.26,651.36,642.1,571.34,564.94,643.06,654.64,652.86,658.03
2018-09-21,642.1,24.914583333333336,29.1,21.0,0.0,11.3,625.0,650.3,651.08,648.18,638.99,571.34,564.94,643.06,654.64,652.86,658.03,648.19
2018-09-22,571.34,25.395833333333332,28.8,22.2,0.0,10.3,572.0,642.1,650.3,651.08,568.04,564.94,643.06,654.64,652.86,658.03,648.19,579.6
2018-09-23,564.94,25.304166666666664,28.8,21.8,0.0,11.8,595.0,571.34,642.1,650.3,564.45,643.06,654.64,652.86,658.03,648.19,579.6,653.95
2018-09-24,643.06,24.25,26.3,22.1,1.1,9.8,115.0,564.94,571.34,642.1,636.26,654.64,652.86,658.03,648.19,579.6,653.95,661.52
2018-09-25,654.64,22.577083333333334,26.0,18.3,0.0,13.9,541.0,643.06,564.94,571.34,648.18,652.86,658.03,648.19,579.6,653.95,661.52,664.15
2018-09-26,652.86,22.860416666666666,25.2,21.0,0.0,16.0,459.0,654.64,643.06,564.94,651.08,658.03,648.19,579.6,653.95,661.52,664.15,663.94
2018-09-27,658.03,19.99318181818182,24.1,15.8,0.0,7.7,627.0,652.86,654.64,643.06,650.3,648.19,579.6,653.95,661.52,664.15,663.94,653.9
2018-09-28,648.19,21.702272727272728,27.1,16.6,0.0,10.3,652.0,658.03,652.86,654.64,642.1,579.6,653.95,661.52,664.15,663.94,653.9,578.63
2018-09-29,579.6,22.863636363636363,27.5,18.6,0.0,10.8,632.0,648.19,658.03,652.86,571.34,653.95,661.52,664.15,663.94,653.9,578.63,583.59
