filepath,cluster
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_1.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_10.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_100.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_101.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_102.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_103.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_104.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_105.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_106.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_107.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_108.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_109.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_11.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_110.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_111.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_112.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_113.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_114.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_115.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_116.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_117.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_118.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_119.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_12.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_120.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_121.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_122.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_123.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_124.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_125.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_126.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_127.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_128.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_129.jpg,4
