filepath,filename,ext,size_bytes,width,height,aspect,is_readable
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_1.jpg,Image_1.jpg,.jpg,39837,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_10.jpg,Image_10.jpg,.jpg,43432,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_100.jpg,Image_100.jpg,.jpg,92258,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_101.jpg,Image_101.jpg,.jpg,45724,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_102.jpg,Image_102.jpg,.jpg,24647,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_103.jpg,Image_103.jpg,.jpg,49099,500,414,1.2077,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_104.jpg,Image_104.jpg,.jpg,56459,500,332,1.506,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_105.jpg,Image_105.jpg,.jpg,20211,184,240,0.7667,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_106.jpg,Image_106.jpg,.jpg,152410,500,322,1.5528,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_107.jpg,Image_107.jpg,.jpg,39765,207,240,0.8625,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_108.jpg,Image_108.jpg,.jpg,43289,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_109.jpg,Image_109.jpg,.jpg,61458,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_11.jpg,Image_11.jpg,.jpg,121659,500,334,1.497,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_110.jpg,Image_110.jpg,.jpg,19828,212,240,0.8833,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_111.jpg,Image_111.jpg,.jpg,16819,172,240,0.7167,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_112.jpg,Image_112.jpg,.jpg,62333,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_113.jpg,Image_113.jpg,.jpg,106361,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_114.jpg,Image_114.jpg,.jpg,30855,500,265,1.8868,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_115.jpg,Image_115.jpg,.jpg,34735,240,240,1.0,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_116.jpg,Image_116.jpg,.jpg,106353,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_117.jpg,Image_117.jpg,.jpg,22908,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_118.jpg,Image_118.jpg,.jpg,74451,500,357,1.4006,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_119.jpg,Image_119.jpg,.jpg,20283,320,240,1.3333,True
