Pais;Anio;Sector;Tamanio;Total_activos;Facturacion;Valor_bruto_agregado;Trabajadores;Solvencia;Apalancamiento;Liquidez;EBITDA_Ingresos_netos;Beneficio_econ_ingresos_netos;EBIT_Ingresos_netos;Rotacion_activos;Salarios_VA
ES;2000;C;1;23905214;31007551;10007751;373389;262,14;162,14;62,91;9,46;5,57;5,95;129,71;70,56
ES;2000;C;2;20075992;21374150;5824140;126730;229,26;129,26;61,18;10,2;6,37;7,46;106,47;64,3
ES;2000;C;3;102142462;134617239;26407881;355156;233,97;133,97;48,72;10,25;5,92;5,34;131,79;51,47
ES;2000;F;1;16761761;14690354;5031775;201849;310,77;210,76;72,17;9,16;6,34;7,39;87,64;74,39
ES;2000;F;2;7699933;4398937;1238913;24551;340,05;240,05;75,83;14,4;10,67;12,71;57,13;52,58
ES;2000;F;3;30152626;16348067;4183849;78999;262,27;162,27;63,85;11,27;7,29;9,21;54,22;65,23
ES;2000;G;1;27808568;51617827;8242148;328371;326,14;226,14;72,48;4,7;3,06;3,4;185,62;70,73
ES;2000;G;2;10127957;21064085;2442174;59347;273,17;173,17;73,68;4,84;3,29;3,71;207,98;60,92
ES;2000;G;3;43781646;86866467;10411765;250678;273;173;51,92;5,62;3,11;3,35;198,41;57,67
ES;2001;C;1;27826064;35456465;11564529;417996;258,04;158,04;61,81;9,14;5,18;5,59;127,42;71,75
ES;2001;C;2;20552929;21750912;5824950;119889;225,56;125,52;59,7;10,58;7,52;7,12;105,83;62,19
ES;2001;C;3;108369871;133243843;24365699;342241;237,71;137,71;46,12;9,35;4,51;4,84;122,95;55,8
ES;2001;F;1;21587230;18678202;6569971;248939;306,59;206,6;71,87;9,38;6,67;7,45;86,52;74,03
ES;2001;F;2;9376770;5005387;1346114;23373;340,23;240,23;75,41;15,06;11,47;12,57;53,38;49,25
ES;2001;F;3;32381604;19466206;4686316;75812;279,87;179,87;70,21;11,14;7;8,37;60,12;62,04
ES;2001;G;1;33254085;60826559;9982258;382149;321,54;221,55;71,71;4,76;2,99;3,37;182,91;71,37
